symbol,wt-null,IR-mock,p53_dependent,Apoptosis
Phlda3,None,None,Up,Yes
Cdkn1a,None,None,Up,Yes
Tnfsf4,None,Up,Up,Yes
Gm10721,None,None,Up,No
Gm10719,None,None,Up,No
Tex15,None,Up,Up,No
Plb1,None,None,Up,No
1700007K13Rik,None,None,Up,No
Grhl3,None,None,Up,No
Plk2,None,None,Up,Yes
Zfp365,None,None,Up,No
Psrc1,None,None,Up,No
Bbc3,None,None,Up,Yes
Gtse1,None,None,Up,No
Dact3,None,None,Up,No
Matn1,None,None,Up,No
Ckmt1,None,None,Up,Yes
Prrg4,None,None,Up,No
Cox6b2,None,None,Up,No
Inka2,None,None,Up,No
Ddias,None,None,Up,Yes
Slc19a2,None,None,Up,No
Robo3,None,None,Up,No
Scn4b,None,None,Up,No
Cep170b,None,None,Up,No
Gm9949,None,Down,Up,No
Hmcn2,None,None,Up,No
Kank3,None,Up,Up,No
Cd80,None,None,Up,No
Dcxr,None,None,Up,No
Sesn2,None,None,Up,No
Hic1,None,None,Up,Yes
Rhod,None,None,Up,No
Epha2,None,None,Up,Yes
Fam131a,None,None,Up,No
Enc1,None,None,Up,No
Ier5l,None,None,Up,No
Snai3,None,None,Up,No
Celf5,None,None,Up,No
Akap1,None,Up,Up,Yes
Dglucy,None,Down,Up,No
Plekha7,None,Down,Up,No
Plod2,None,None,Up,No
Thyn1,None,Up,Up,No
Rac3,None,None,Up,No
Dennd2c,None,None,Up,No
Ankrd13b,None,Up,Up,No
Cdc42bpg,None,None,Up,No
Ikbke,None,None,Up,Yes
Pkd1l2,None,None,Up,No
Abcb1b,None,Up,Up,No
Cfap126,None,None,Up,No
Ogdhl,None,None,Up,No
Asap3,None,None,Up,No
Ccng1,None,None,Up,Yes
Pidd1,None,Up,Up,Yes
Mef2b,None,Up,Up,No
Lpin1,None,Down,Up,No
Macroh2a3,None,Up,Up,No
Dzip1,None,None,Up,No
Ak1,None,None,Up,No
Polk,None,None,Up,No
Ppp1r36,None,None,Up,No
Gm8482,None,None,Up,No
Gm7451,None,Up,Up,No
Fas,None,Up,Up,Yes
Mybl1,None,None,Up,No
Macroh2a2,None,Up,Up,No
Zmat3,None,None,Up,No
Ckap2,None,Up,Up,Yes
Ddit4l,None,None,Up,No
Gcdh,None,None,Up,No
Aldh4a1,None,None,Up,No
Mgmt,None,None,Up,Yes
Bmp1,None,None,Up,No
Ei24,None,None,Up,Yes
Cpt1c,None,None,Up,No
Jag2,None,None,Up,Yes
Pmaip1,None,None,Up,Yes
Cad,None,Up,Up,No
Acad8,None,None,Up,No
Aen,None,Up,Up,Yes
ENSMUSG00000072812,None,None,Up,No
Ccnf,None,None,Up,No
Aaas,None,None,Up,No
Gm13854,None,None,Up,No
Cercam,None,None,Up,No
Scarf2,None,None,Up,No
Pcdhgc3,None,None,Up,Yes
Dyrk3,None,None,Up,Yes
