symbol,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
Phlda3,4.236306445,4.28460269,4.365203817,4.113050921,12.17775465,12.02947172,12.95476854,13.0988683,3.734077316,3.066565004,2,2.492449186
Cdkn1a,4.733035648,5.029232582,4.726342076,4.725242139,12.12459084,12.04504672,12.76713924,12.94078263,4.286224035,3.943188334,4.473915289,4.398275685
Tnfsf4,3.294241044,4.101466604,3.677283755,3.028138521,11.01105327,10.98111514,11.95127854,11.77824042,2.661445587,2.907315663,5.070849249,4.698712009
Gm10721,5.180996014,6.466237515,7.324812078,7.932552798,15.12454318,16.69280206,6.303806353,12.41993432,8.398696197,8.290341641,5.846168796,10.01415507
Gm10719,5.895229711,7.889427325,8.724968893,9.209160033,16.01712007,17.47044273,7.656288769,13.9173266,9.871894975,9.486986429,6.426246268,10.99131972
Tex15,4.023732797,4.101466604,4.295136453,3.413066444,10.89698018,11.08144985,12.15611002,11.85563326,3.89314645,3.340400992,7.715180346,6.75687351
Plb1,2.976964514,3.553925444,3.562670827,3.716622471,10.03797015,10.20458249,10.98075073,10.74658536,3.45680615,3.209970323,3.277146836,3.694911979
1700007K13Rik,2,2.255337515,2,2,8.52123376,8.362814866,9.510701094,9.677751238,2,2,2,2
Grhl3,2.718566724,2.255337515,2.793064158,2.87303589,9.252960263,9.382909832,9.302146413,9.496323641,2,2.728281369,2,2.267134935
Plk2,6.540483092,6.720473232,7.205736084,7.175182111,13.09460792,13.35357132,13.77993282,13.77097464,6.882724557,7.20545716,7.064274867,5.677858121
Zfp365,4.866725546,5.919711111,5.826753254,6.034126716,11.59383212,11.56197151,12.25722726,12.33394047,5.281698252,6.009282756,5.070849249,5.372550493
Psrc1,7.021052716,6.954676405,6.898282383,7.158485081,12.84034863,12.78855139,13.68319106,13.74752244,6.920160948,6.745710587,6.605666687,6.559438515
Bbc3,6.618382231,6.563948195,6.459793691,6.40355328,12.26916712,12.24596907,12.46392282,12.68530581,5.903038272,5.86503433,5.727146202,6.315975428
