country,Area,Birth Rate,Death Rate,Infant Death,Internet Users,Life Span,Maternal Death,Net Migration,Population,Pop Growth,Continent
Russia,7.23295146,11.87,13.83,7.08,7.611223954,70.16,34,1.69,8.153724253,-0.03,Europe
Japan,5.57739413,8.07,9.38,2.13,7.996432862,84.46,5,0,8.104157127,-0.13,Asia
Germany,5.552694979,8.42,11.29,3.46,7.813747736,80.44,7,1.06,7.908467245,-0.18,Europe
South Africa,6.086035769,18.94,17.49,41.61,6.645422269,49.56,300,-6.27,7.684626769,-0.48,Africa
Ukraine,5.780713254,9.41,15.72,8.1,6.890421019,69.14,32,-0.06,7.646319536,-0.64,Europe
Poland,5.495107048,9.77,10.37,6.19,7.351255034,76.65,5,-0.47,7.583723228,-0.11,Europe
Romania,5.377289855,9.27,11.88,10.16,6.891370175,74.69,27,-0.24,7.337057148,-0.29,Europe
Syria,5.26759408,22.76,6.51,15.79,6.650210355,68.41,70,-113.51,7.254104106,-9.73,Asia
Cuba,5.044774874,9.9,7.64,4.7,6.205745541,78.22,73,-3.64,7.043254222,-0.14,N.  America
Hungary,4.968613684,9.26,12.72,5.09,6.790707287,75.46,21,1.34,6.996473495,-0.21,Europe
Belarus,5.317227349,10.86,13.51,3.64,6.422097163,72.15,4,0.78,6.982635616,-0.19,Europe
Serbia,4.889155979,9.13,13.71,6.16,6.613524703,75.02,12,0,6.857921049,-0.46,Europe
Bulgaria,5.0448493,8.92,14.3,15.08,6.530839779,74.33,11,-2.89,6.840401967,-0.83,Europe
Georgia,4.843232778,12.93,10.77,16.68,6.113943352,75.72,67,-3.25,6.693364593,-0.11,Europe
Croatia,4.75277039,9.49,12.13,5.87,6.349083169,76.41,17,1.43,6.650359402,-0.12,Europe
Bosnia,4.709244513,8.89,9.64,5.84,6.152899596,76.33,8,-0.38,6.587895305,-0.11,Europe
Puerto Rico,4.139564266,10.9,8.51,7.73,6,79.09,20,-8.93,6.558816171,-0.65,N.  America
Moldova,4.529571503,12.21,12.6,12.93,6.124830149,70.12,41,-9.8,6.554281715,-1.02,Europe
Lithuania,4.814913181,9.36,11.55,6,6.293141483,75.98,8,-0.73,6.544779456,-0.29,Europe
Armenia,4.473384771,13.92,9.3,13.97,5.318480725,74.12,30,-5.88,6.485810973,-0.13,Europe
